"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","0.82uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C2","1.5uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C3","220uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C4,C5,C8,C9","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","4",""
"C6","0.05uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C7","250uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"D1,D2,D3","1N4007","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","3",""
"D4","D_Schottky","~","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D5","GREEN","~","LED_THT:LED_D3.0mm","1",""
"GAIN1,R2,R7,VOL1","10K","~","-- mixed values --","4",""
"J1","8 Ohm Speaker","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J2","Sound IN","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J3","Barrel_Jack","~","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","1",""
"Q1","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92S_Wide","1",""
"R1","45K","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P20.32mm_Horizontal","1",""
"R3","2.2K","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P20.32mm_Horizontal","1",""
"R4","440R","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P20.32mm_Horizontal","1",""
"R5","10R","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P20.32mm_Horizontal","1",""
"R6","500R","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P20.32mm_Horizontal","1",""
"R8","30K","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P20.32mm_Horizontal","1",""
"SW1","SW_SPST","~","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm","1",""
"U1","LM386","http://www.ti.com/lit/ds/symlink/lm386.pdf","Package_DIP:CERDIP-8_W7.62mm_SideBrazed_LongPads_Socket","1",""
"U2","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
